pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
13.6644	20.7733	4.82236	2.87501	0.523964	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	0.0743757	0.0997676	0.554434	0.363718	2.08741	
13.4217	20.8081	4.8241	2.91561	0.541836	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	0.0742071	0.0995538	0.552608	0.362553	2.47645	
13.1757	20.8542	4.82949	2.94524	0.543535	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.074081	0.0993749	0.550799	0.361421	0.272192	
12.9456	20.9099	4.82858	2.96879	0.541203	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	0.073925	0.0991663	0.549008	0.360286	1.71045	
12.7287	20.9653	4.81896	2.98879	0.536172	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	0.0737072	0.0989135	0.547239	0.359138	1.52486	
12.4843	21.0016	4.82512	3.01699	0.538607	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	0.0735007	0.0986615	0.545487	0.358011	2.81478	
12.2396	21.041	4.83195	3.04078	0.535739	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.0733051	0.0983867	0.54375	0.356887	0.307275	
12.0016	21.061	4.83189	3.07014	0.540379	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.0731019	0.0981228	0.542031	0.355792	1.0707	
11.7513	21.0424	4.83112	3.1073	0.54845	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	0.0729206	0.0979924	0.54033	0.354801	1.89959	
11.5046	21.0295	4.83262	3.14198	0.555857	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	0.0727517	0.0979977	0.538647	0.353938	1.26705	
11.2754	21.0322	4.82488	3.1672	0.554268	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.0725477	0.0980188	0.536988	0.353084	0.458608	
11.0234	20.9942	4.82977	3.20569	0.564373	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	0.0723644	0.0983198	0.535348	0.352467	4.49593	
